Time,Normalized,Characterization
1,0.0,1.3089328176896231e-08
2,0.166666667,0.16666669513803647
3,0.0,-1.6555056636669008e-07
4,0.0,8.023289012580592e-07
5,0.083333333,0.08332942773250858
6,0.0,1.5279906015431936e-05
7,0.083333333,0.08329072207227638
8,0.0,5.909384514761647e-05
9,0.083333333,0.08348777017906388
10,0.0,-0.00142232186557365
11,0.0,0.005841529317030993
12,0.083333333,0.0661621865273594
13,0.083333333,0.12300101647591347
14,0.083333333,0.009051177836243554
15,0.0,0.11374025613904899
16,0.0,-0.14211317019784006
17,0.333333333,0.47796081953588226
18,1.0,0.8758240886195418
19,0.166666667,0.27412707160234334
20,0.416666667,0.2921404525216636
21,0.166666667,0.3389917881147081
22,0.416666667,0.21328001003937153
23,0.583333333,0.7523543967776287
24,0.083333333,-0.0008941569335712551
25,0.0,0.034984082626391716
26,0.25,0.1552700029117844
27,0.416666667,0.6447702144891375
28,0.416666667,0.11426232767950428
29,0.416666667,0.6373791990803629
30,0.416666667,0.37622913438160277
31,0.25,0.18499011932517861
32,0.166666667,0.1428873727937372
33,0.416666667,0.6645408740628851
34,0.166666667,-0.2564792718325696
35,0.416666667,0.8284405571293223
36,0.583333333,0.3467385601554972
37,0.5,0.5395870069222107
38,0.25,0.30113350751091944
39,0.083333333,0.07109972894043906
40,0.25,0.16116944823072515
41,0.333333333,0.5024085808666047
42,0.0,-0.18849349372478294
43,0.0,0.15645002773414957
44,0.083333333,-0.020847823424128185
45,0.416666667,0.4741476502473192
46,0.083333333,0.056665095591392704
47,0.166666667,0.17712595177957455
48,0.25,0.246536721247959
49,0.166666667,0.16762767564664113
50,0.083333333,0.08311323337069229
51,0.083333333,0.08337375411615855
52,0.0,-5.583609926852057e-06
53,0.083333333,0.08333380243291916
54,0.0,3.76672559115887e-09
55,0.0,1.435443010983084e-08
56,0.0,9.731560157710817e-08
